wine_type,citric acid,fixed acidity,volatile acidity,residual sugar,chlorides,sulphates,free sulfur dioxide,total sulfur dioxide,density,pH,alcohol,quality,quality_label
red wine,0.22,6.8,0.56,1.8,0.07400000000000001,0.82,15.0,24.0,0.9943799999999999,3.4,11.2,6,medium quality
white wine,0.36,6.4,0.3,2.0,0.052000000000000005,0.53,18.0,141.0,0.9927299999999999,3.38,10.5,6,medium quality
white wine,0.29,5.9,0.17,3.1,0.03,0.33,32.0,123.0,0.98913,3.41,13.7,7,medium quality
white wine,0.24,7.0,0.24,1.8,0.047,0.43,29.0,91.0,0.99251,3.3,9.9,6,medium quality
white wine,0.07,6.4,0.45,1.1,0.03,0.28,10.0,131.0,0.9905,2.97,10.8,5,low quality
white wine,0.26,6.0,0.2,6.8,0.049,0.42,22.0,93.0,0.9928,3.15,11.0,6,medium quality
white wine,0.49,6.8,0.22,0.9,0.052000000000000005,0.35,26.0,128.0,0.991,3.25,11.4,6,medium quality
white wine,0.61,7.1,0.43,11.8,0.045,0.45,54.0,155.0,0.9974,3.11,8.7,5,low quality
white wine,0.45,6.2,0.36,10.4,0.06,0.56,22.0,184.0,0.99711,3.31,9.8,6,medium quality
red wine,0.66,9.5,0.55,2.3,0.387,0.67,12.0,37.0,0.9982,3.17,9.6,5,low quality
red wine,0.1,7.3,0.91,1.8,0.07400000000000001,0.56,20.0,56.0,0.99672,3.35,9.2,5,low quality
white wine,0.31,7.1,0.28,1.5,0.053,0.5,20.0,98.0,0.99069,3.15,11.4,5,low quality
white wine,0.32,8.1,0.24,10.5,0.03,0.42,34.0,105.0,0.9940700000000001,3.11,11.8,6,medium quality
white wine,0.38,7.8,0.22,10.3,0.059000000000000004,0.47,28.0,99.0,0.9967,3.12,10.0,6,medium quality
red wine,0.4,8.2,0.28,2.4,0.052000000000000005,0.7,4.0,10.0,0.99356,3.33,12.8,7,medium quality
white wine,0.49,6.2,0.15,0.9,0.033,0.7,17.0,51.0,0.9932,3.3,9.4,6,medium quality
white wine,0.49,6.1,0.22,1.5,0.051,0.46,18.0,87.0,0.9928,3.3,9.6,5,low quality
red wine,0.09,6.4,0.53,3.9,0.12300000000000001,0.67,14.0,31.0,0.9968,3.5,11.0,4,low quality
red wine,0.76,7.7,0.41,1.8,0.611,1.26,8.0,45.0,0.9968,3.06,9.4,5,low quality
white wine,0.86,7.1,0.34,1.4,0.174,0.5,36.0,99.0,0.9928799999999999,2.92,9.3,5,low quality
white wine,0.37,8.3,0.16,7.9,0.025,0.37,38.0,107.0,0.99306,2.93,11.9,6,medium quality
white wine,0.33,6.5,0.08,1.9,0.027999999999999997,0.7,23.0,93.0,0.991,3.34,12.0,7,medium quality
white wine,0.32,6.5,0.24,7.6,0.038,0.54,48.0,203.0,0.9958,3.45,9.7,7,medium quality
white wine,0.41,6.5,0.18,14.2,0.039,0.72,47.0,129.0,0.9967799999999999,3.28,10.3,7,medium quality
white wine,0.33,7.4,0.16,1.2,0.042,0.68,47.0,121.0,0.99198,3.04,10.5,7,medium quality
white wine,0.31,5.4,0.33,4.0,0.03,0.43,27.0,108.0,0.99031,3.3,12.2,7,medium quality
white wine,0.38,7.2,0.23,14.3,0.057999999999999996,0.44,55.0,194.0,0.9979,3.09,9.0,6,medium quality
white wine,0.28,5.4,0.265,7.8,0.052000000000000005,0.38,27.0,91.0,0.9943200000000001,3.19,10.4,6,medium quality
white wine,0.14,5.8,0.335,5.8,0.046,0.71,49.0,197.0,0.9937,3.3,10.3,5,low quality
red wine,0.32,6.8,0.36,1.8,0.067,0.55,4.0,8.0,0.9928,3.36,12.8,7,medium quality
red wine,0.02,7.1,0.84,4.4,0.096,0.57,5.0,13.0,0.997,3.41,11.0,4,low quality
white wine,0.35,7.3,0.32,1.4,0.05,0.42,8.0,163.0,0.99244,3.24,10.7,5,low quality
white wine,0.34,8.1,0.45,8.3,0.037000000000000005,0.64,33.0,216.0,0.9976,3.31,9.7,5,low quality
white wine,0.23,6.9,0.29,8.6,0.055999999999999994,0.44,56.0,215.0,0.9967,3.17,8.8,5,low quality
red wine,0.22,7.5,0.59,1.8,0.08199999999999999,0.42,43.0,60.0,0.9949899999999999,3.1,9.2,5,low quality
red wine,0.49,10.9,0.53,4.6,0.11800000000000001,0.56,10.0,17.0,1.0002,3.07,11.7,6,medium quality
red wine,0.43,10.6,1.025,2.8,0.08,0.57,21.0,84.0,0.9985,3.06,10.1,5,low quality
white wine,0.13,8.0,0.25,17.2,0.036000000000000004,0.46,49.0,219.0,0.9996,2.96,9.7,5,low quality
white wine,0.52,7.0,0.31,1.7,0.028999999999999998,0.43,5.0,61.0,0.9918,3.07,10.4,5,low quality
red wine,0.14,9.4,0.59,2.0,0.084,0.56,25.0,48.0,0.9981,3.14,9.7,5,low quality
white wine,0.31,7.5,0.18,6.5,0.028999999999999998,0.38,53.0,160.0,0.9927600000000001,3.03,10.9,6,medium quality
white wine,0.49,7.8,0.49,7.0,0.043,0.33,29.0,149.0,0.9952,3.21,10.0,5,low quality
white wine,0.35,6.8,0.24,6.4,0.048,0.55,44.0,172.0,0.9944,3.29,10.5,7,medium quality
red wine,0.0,6.8,0.69,5.6,0.124,0.72,21.0,58.0,0.9997,3.46,10.2,5,low quality
white wine,0.09,6.7,0.31,1.4,0.039,0.44,53.0,141.0,0.99206,3.12,10.1,5,low quality
white wine,0.36,8.2,0.37,1.0,0.034,0.32,17.0,93.0,0.9906,3.04,11.7,8,high quality
white wine,0.27,6.4,0.28,11.0,0.042,0.46,45.0,148.0,0.9978600000000001,3.14,8.7,5,low quality
white wine,0.36,6.7,0.19,1.1,0.026000000000000002,0.48,63.0,143.0,0.9912,3.27,11.0,6,medium quality
white wine,0.24,6.9,0.25,3.6,0.057,0.48,13.0,85.0,0.9942,2.99,9.5,4,low quality
white wine,0.34,6.3,0.22,1.2,0.036000000000000004,0.74,32.0,96.0,0.98961,3.06,11.6,6,medium quality
white wine,0.06,5.1,0.52,2.7,0.052000000000000005,0.43,30.0,79.0,0.9932,3.32,9.3,5,low quality
white wine,0.51,7.9,0.345,15.3,0.047,0.51,54.0,171.0,0.9987,3.09,9.1,5,low quality
white wine,0.25,6.6,0.25,1.3,0.04,0.48,28.0,85.0,0.9898399999999999,2.87,11.2,6,medium quality
white wine,0.3,6.6,0.28,7.8,0.049,0.39,57.0,202.0,0.9958,3.24,9.5,5,low quality
red wine,0.42,10.5,0.24,1.8,0.077,1.05,6.0,22.0,0.9976,3.21,10.8,7,medium quality
red wine,0.3,8.3,0.43,3.4,0.079,0.61,7.0,34.0,0.9978799999999999,3.36,10.5,5,low quality
white wine,0.74,6.8,0.21,1.2,0.047,0.41,25.0,111.0,0.9916,3.13,10.7,6,medium quality
white wine,0.43,8.4,0.19,2.1,0.052000000000000005,0.46,20.0,104.0,0.9940000000000001,2.85,9.5,5,low quality
white wine,0.46,6.8,0.26,8.3,0.037000000000000005,0.47,49.0,173.0,0.9960100000000001,3.17,9.3,5,low quality
white wine,0.23,8.8,0.24,10.3,0.032,0.4,12.0,97.0,0.99571,3.13,10.7,6,medium quality
white wine,0.27,8.3,0.28,17.5,0.045,0.56,48.0,253.0,1.00014,3.02,9.1,6,medium quality
white wine,0.32,6.1,0.27,6.2,0.048,0.6,47.0,161.0,0.9928100000000001,3.22,11.0,6,medium quality
white wine,0.21,6.9,0.3,15.7,0.055999999999999994,0.48,49.0,159.0,0.9982700000000001,3.11,9.0,5,low quality
white wine,0.26,7.4,0.22,1.2,0.035,0.41,18.0,97.0,0.99245,3.12,9.7,6,medium quality
white wine,0.3,9.4,0.28,1.6,0.045,0.49,36.0,139.0,0.99534,3.11,9.3,5,low quality
red wine,0.05,9.0,0.82,2.4,0.081,0.53,26.0,96.0,0.9981399999999999,3.36,10.0,5,low quality
white wine,0.25,6.6,0.16,9.8,0.049,0.38,59.5,137.0,0.995,3.16,10.0,6,medium quality
red wine,0.26,7.4,0.6,2.1,0.083,0.56,17.0,91.0,0.99616,3.29,9.8,6,medium quality
white wine,0.22,7.8,0.28,1.4,0.055999999999999994,0.48,24.0,130.0,0.9944,3.28,9.5,5,low quality
white wine,0.44,7.6,0.21,1.9,0.036000000000000004,0.7,10.0,119.0,0.9913,3.01,12.8,6,medium quality
white wine,0.33,7.0,0.28,14.6,0.043,0.67,47.0,168.0,0.9994,3.34,8.8,6,medium quality
red wine,0.29,9.0,0.6,2.0,0.069,0.57,32.0,73.0,0.99654,3.34,10.0,5,low quality
white wine,0.4,7.2,0.32,8.7,0.038,0.47,45.0,154.0,0.9956799999999999,3.2,10.4,6,medium quality
white wine,0.06,5.7,0.695,6.8,0.042,0.44,9.0,84.0,0.9943200000000001,3.44,10.2,5,low quality
red wine,0.05,7.3,0.98,2.1,0.061,0.55,20.0,49.0,0.99705,3.31,9.7,3,low quality
red wine,0.27,8.2,0.64,2.0,0.095,0.62,5.0,77.0,0.9974700000000001,3.13,9.1,6,medium quality
white wine,0.27,6.5,0.25,15.2,0.049,0.39,75.0,217.0,0.9972,3.19,9.9,5,low quality
red wine,0.03,7.6,0.95,2.0,0.09,0.56,7.0,20.0,0.9959,3.2,9.6,5,low quality
white wine,0.36,8.6,0.18,1.8,0.04,0.55,24.0,187.0,0.9956,3.25,9.5,6,medium quality
white wine,0.35,7.0,0.23,1.4,0.036000000000000004,0.48,31.0,113.0,0.9912,3.16,10.8,7,medium quality
white wine,0.42,7.1,0.38,11.8,0.040999999999999995,0.49,32.0,193.0,0.99624,3.04,10.0,6,medium quality
red wine,0.54,11.6,0.41,1.5,0.095,0.76,22.0,41.0,0.99735,3.02,9.9,7,medium quality
white wine,0.36,6.8,0.45,5.0,0.033,0.4,28.0,156.0,0.991,3.11,12.4,7,medium quality
white wine,0.36,7.4,0.18,13.1,0.055999999999999994,0.35,72.0,163.0,1.0,3.42,9.1,6,medium quality
white wine,0.44,6.7,0.3,18.5,0.057,0.53,65.0,224.0,0.99956,3.11,9.1,5,low quality
red wine,0.27,8.6,0.47,2.3,0.055,0.8,14.0,28.0,0.99516,3.18,11.2,5,low quality
white wine,0.36,7.8,0.29,7.0,0.042,0.37,38.0,161.0,0.9941,3.26,11.2,8,high quality
white wine,0.28,6.5,0.24,1.1,0.034,0.33,26.0,83.0,0.9892799999999999,3.25,12.3,6,medium quality
white wine,0.16,6.4,0.5,12.9,0.042,0.33,26.0,138.0,0.9974,3.28,9.0,5,low quality
white wine,0.52,6.5,0.29,7.9,0.049,0.51,35.0,192.0,0.99551,3.16,9.5,6,medium quality
white wine,0.35,6.6,0.19,1.5,0.037000000000000005,0.68,37.0,107.0,0.99006,3.18,12.0,7,medium quality
white wine,0.45,8.3,0.14,1.5,0.039,0.56,18.0,98.0,0.99215,3.02,11.0,6,medium quality
white wine,0.21,6.1,0.34,5.0,0.042,0.53,17.0,133.0,0.9937299999999999,3.02,9.4,5,low quality
